config,pattern,rate,avg_pkt_latency,avg_flit_latency,avg_flit_network_latency,avg_flit_queueing_latency,avg_hops,packets_received,flits_received,sim_cycles,accepted_flits_per_node_cycle
vc2_bubble,uniform_random,0.2,12446.451039,12446.451039,21.307029,12425.14401,4.002243,239886.0,239886.0,100000.0,0.14992875
vc2_bubble,uniform_random,0.25,19913.611084,19913.611084,21.294805,19892.316279,4.001154,240016.0,240016.0,100000.0,0.15001
vc2_bubble,uniform_random,0.3,25117.947779,25117.947779,21.336066,25096.611713,3.999319,239367.0,239367.0,100000.0,0.149604375
vc2_bubble,uniform_random,0.4,31174.841248,31174.841248,21.27935,31153.561898,3.996718,240111.0,240111.0,100000.0,0.150069375
vc2_bubble,uniform_random,0.5,34978.321601,34978.321601,21.318844,34957.002758,3.997096,239688.0,239688.0,100000.0,0.149805
vc2_bubble,uniform_random,0.6,37385.798887,37385.798887,21.342168,37364.456719,4.006414,239622.0,239622.0,100000.0,0.14976375
vc2_bubble,uniform_random,0.7,39370.850527,39370.850527,21.301225,39349.549302,3.998754,239917.0,239917.0,100000.0,0.149948125
vc2_bubble,bit_complement,0.01,13.151546,13.151546,11.150912,2.000634,3.980613,15784.0,15784.0,100000.0,0.009865
vc2_bubble,bit_complement,0.02,13.415864,13.415864,11.411377,2.004487,4.000282,31871.0,31871.0,100000.0,0.019919375
vc2_bubble,bit_complement,0.03,13.717546,13.717546,11.699583,2.017964,4.003964,47930.0,47930.0,100000.0,0.02995625
vc2_bubble,bit_complement,0.04,14.097954,14.097954,12.053016,2.044937,4.006529,63867.0,63867.0,100000.0,0.039916875
vc2_bubble,bit_complement,0.05,14.573453,14.573453,12.47567,2.097783,4.007647,80167.0,80167.0,100000.0,0.050104375
vc2_bubble,bit_complement,0.075,16.921112,16.921112,14.224999,2.696113,3.99727,119765.0,119765.0,100000.0,0.074853125
vc2_bubble,bit_complement,0.1,38.200807,38.200807,19.048269,19.152538,4.00142,159875.0,159875.0,100000.0,0.099921875
vc2_bubble,bit_complement,0.15,11618.249085,11618.249085,24.77251,11593.476574,4.479681,174808.0,174808.0,100000.0,0.109255
vc2_bubble,bit_complement,0.2,16176.70578,16176.70578,26.500861,16150.204919,4.818041,179403.0,179403.0,100000.0,0.112126875
vc2_bubble,bit_complement,0.25,19198.717595,19198.717595,27.496145,19171.22145,4.999718,184579.0,184579.0,100000.0,0.115361875
vc2_bubble,bit_complement,0.3,24357.843614,24357.843614,27.49708,24330.346534,4.999762,184588.0,184588.0,100000.0,0.1153675
vc2_bubble,bit_complement,0.4,30749.306983,30749.306983,27.497205,30721.809778,4.999762,184590.0,184590.0,100000.0,0.11536875
vc2_bubble,bit_complement,0.5,34590.766514,34590.766514,27.497559,34563.268954,4.999805,184589.0,184589.0,100000.0,0.115368125
vc2_bubble,bit_complement,0.6,37186.068541,37186.068541,27.497522,37158.571019,4.999816,184591.0,184591.0,100000.0,0.115369375
vc2_bubble,bit_complement,0.7,39031.654826,39031.654826,27.497565,39004.157261,4.999816,184591.0,184591.0,100000.0,0.115369375
vc2_bubble,bit_reverse,0.01,12.603269,12.603269,10.602762,2.000507,3.731754,15784.0,15784.0,100000.0,0.009865
vc2_bubble,bit_reverse,0.02,12.791967,12.791967,10.787669,2.004299,3.740728,31870.0,31870.0,100000.0,0.01991875
vc2_bubble,bit_reverse,0.03,13.021908,13.021908,11.006593,2.015315,3.753464,47928.0,47928.0,100000.0,0.029955
vc2_bubble,bit_reverse,0.04,13.241478,13.241478,11.204901,2.036577,3.74075,63865.0,63865.0,100000.0,0.039915625
vc2_bubble,bit_reverse,0.05,13.547101,13.547101,11.477672,2.069429,3.743875,80168.0,80168.0,100000.0,0.050105
vc2_bubble,bit_reverse,0.075,14.666163,14.666163,12.342412,2.323751,3.741853,119765.0,119765.0,100000.0,0.074853125
vc2_bubble,bit_reverse,0.1,17.778994,17.778994,13.989237,3.789757,3.751732,159896.0,159896.0,100000.0,0.099935
vc2_bubble,bit_reverse,0.15,5923.226199,5923.226199,18.705528,5904.520671,3.570776,209979.0,209979.0,100000.0,0.131236875
vc2_bubble,bit_reverse,0.2,12012.826074,12012.826074,17.315536,11995.510538,3.284803,231023.0,231023.0,100000.0,0.144389375
vc2_bubble,bit_reverse,0.25,14737.345644,14737.345644,16.052683,14721.292962,3.045472,252132.0,252132.0,100000.0,0.1575825
vc2_bubble,bit_reverse,0.3,16109.292452,16109.292452,15.154125,16094.138327,2.799154,271118.0,271118.0,100000.0,0.16944875
vc2_bubble,bit_reverse,0.4,16735.107875,16735.107875,13.606643,16721.501231,2.442683,310685.0,310685.0,100000.0,0.194178125
vc2_bubble,bit_reverse,0.5,23305.961326,23305.961326,13.684159,23292.277167,2.419267,309972.0,309972.0,100000.0,0.1937325
vc2_bubble,bit_reverse,0.6,27702.271545,27702.271545,13.550036,27688.721509,2.461397,311974.0,311974.0,100000.0,0.19498375
vc2_bubble,bit_reverse,0.7,30912.460808,30912.460808,13.549985,30898.910823,2.461382,311976.0,311976.0,100000.0,0.194985
vc2_escape,uniform_random,0.01,14.476061,14.476061,12.475236,2.000824,4.676264,15769.0,15769.0,100000.0,0.009855625
vc2_escape,uniform_random,0.02,14.759101,14.759101,12.755388,2.003713,4.728077,31781.0,31781.0,100000.0,0.019863125
vc2_escape,uniform_random,0.03,15.130572,15.130572,13.119193,2.01138,4.78109,47805.0,47805.0,100000.0,0.029878125
vc2_escape,uniform_random,0.04,15.509967,15.509967,13.487254,2.022713,4.784517,63708.0,63708.0,100000.0,0.0398175
vc2_escape,uniform_random,0.05,16.174425,16.174425,14.1349,2.039525,4.776575,80000.0,80000.0,100000.0,0.05
vc2_escape,uniform_random,0.075,20.52084,20.52084,18.300491,2.220349,4.72871,119551.0,119551.0,100000.0,0.074719375
vc2_escape,uniform_random,0.1,2542.213815,2542.213815,34.671019,2507.542796,4.353275,148881.0,148881.0,100000.0,0.093050625
vc2_escape,uniform_random,0.15,11733.641673,11733.641673,62.490597,11671.151076,4.28235,103425.0,103425.0,100000.0,0.064640625
vc2_escape,uniform_random,0.2,18151.777716,18151.777716,67.377687,18084.400029,4.307925,96858.0,96858.0,100000.0,0.06053625
vc2_escape,uniform_random,0.25,24393.891821,24393.891821,67.433396,24326.458424,4.301126,97172.0,97172.0,100000.0,0.0607325
vc2_escape,uniform_random,0.3,28673.280155,28673.280155,67.342081,28605.938073,4.288779,97050.0,97050.0,100000.0,0.06065625
vc2_escape,uniform_random,0.4,34163.257933,34163.257933,67.527891,34095.730041,4.292027,97289.0,97289.0,100000.0,0.060805625
vc2_escape,uniform_random,0.5,37299.510092,37299.510092,67.069077,37232.441015,4.29808,97457.0,97457.0,100000.0,0.060910625
vc2_escape,uniform_random,0.6,39481.267046,39481.267046,67.176753,39414.090293,4.285855,97560.0,97560.0,100000.0,0.060975
vc2_escape,uniform_random,0.7,41090.140633,41090.140633,66.412147,41023.728486,4.283175,97936.0,97936.0,100000.0,0.06121
